PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2000,-0.5,33.75,25.78,25.78,25.38,25.16,24.97,24.03,23.77,23.81,24.83,24.07,23.67,24.42,24.64
T2M,2000,-0.5,34.375,25.47,26,25.88,25.25,24.98,24.32,23.7,23.81,24.64,23.95,23.38,23.32,24.55
T2M,2000,-0.5,35,22.27,23.08,23.3,22.2,21.69,20.57,19.77,20.22,20.98,21.17,20.69,20.35,21.35
T2M,2000,-0.5,35.625,16.31,16.87,17.85,16.67,16.1,14.53,13.67,13.92,14.82,15.54,15.43,15.53,15.6
T2M,2000,-0.5,36.25,16.61,17.3,18.35,17.05,16.4,14.83,14.02,14.03,15.12,15.88,15.89,16.53,16
T2M,2000,-0.5,36.875,16.52,17.79,18.49,17.6,16.98,15.62,14.93,15.07,16.03,16.82,16.45,16.76,16.58
T2M,2000,-0.5,37.5,19.96,21.39,22.44,21.49,20.92,19.45,18.89,18.84,19.79,20.92,20.32,20.3,20.39
T2M,2000,-0.5,38.125,23.83,25.14,26.7,25.64,25.13,23.78,23.35,23.55,24.41,25.46,24.08,23.86,24.58
T2M,2000,-0.5,38.75,26.68,27.81,29.02,27.34,26.52,25.14,24.71,24.92,25.8,27.01,26.12,26,26.42
T2M,2000,-0.5,39.375,28.57,29.49,30.41,28.21,27.07,25.81,25.44,25.54,26.54,27.64,27.82,28.06,27.54
T2M,2000,-0.5,40,29.07,30,30.73,28.73,27.35,26.16,25.76,25.88,27,27.93,28.46,28.69,27.97
T2M,2000,-0.5,40.625,29.58,30.29,30.55,29.37,27.36,26.2,25.98,25.97,27.26,27.74,28.44,29.2,28.15
T2M,2000,-0.5,41.25,29.57,30.12,30.27,29.5,27.58,26.41,26.2,26.11,27.36,27.71,28.47,29.21,28.2
T2M,2000,-0.5,41.875,28.85,29.15,29.45,29.33,27.68,26.59,26.24,26.16,27.06,27.4,28.37,28.87,27.92
T2M,2000,-1,33.75,25.81,25.8,25.22,25.27,25.14,24.19,23.87,23.91,24.86,24.31,23.57,24.06,24.66
T2M,2000,-1,34.375,24.15,23.86,24.21,24.04,23.94,23.2,22.7,22.87,23.85,23.21,22.1,21.07,23.26
T2M,2000,-1,35,21.71,21.69,21.87,20.56,20.12,18.94,18.45,18.91,19.85,20.4,19.75,18.82,20.08
T2M,2000,-1,35.625,20.56,21.29,21.25,18.99,18.33,16.64,15.96,16.34,17.54,18.73,18.43,18.52,18.54
T2M,2000,-1,36.25,18.66,19.65,20,18.32,17.52,15.87,14.98,15.38,16.66,17.7,17.53,18.06,17.52
T2M,2000,-1,36.875,18.09,19.65,20.75,19.6,19.16,17.93,17.35,17.46,18.64,19.53,18.73,18.62,18.79
T2M,2000,-1,37.5,21.27,22.67,23.96,22.79,22.05,20.57,20.25,20.25,21.17,22.46,21.8,21.66,21.74
T2M,2000,-1,38.125,23.59,24.56,25.79,24.49,23.76,22.27,21.82,22.02,22.92,24.17,23.08,23.06,23.46
